series_name,count
途铠,6282
速派,503
速腾,92140
逸动,63443
逸动EV,3722
逸达,9745
钇为3,348
锋兰达,51163
锐界,5893
锐程CC,40
锐程PLUS,10079
锐际,9013
长安CS35 PLUS,26638
长安CS55 PLUS,47179
长安CS75 PLUS,94171
长安CS85 COUPE,851
长安CS95,1198
长安Lumin,40167
长安UNI-K,6675
长安UNI-K 智电iDD,3721
长安UNI-T,14906
长安UNI-V,47280
长安UNI-V 智电iDD,7352
长安欧尚X5,7863
长安欧尚X5 PLUS,26941
长安欧尚X7 PLUS,15525
长安欧尚Z6,28476
长安欧尚Z6 iDD新能源,4502
问界M5,12388
问界M7,5747
阿维塔 11,9002
雅阁,85343
雪佛兰畅巡,2320
零跑C01,5361
零跑C11,18559
零跑T03,7373
雷凌,55766
领克01,4998
领克01 EM-P,722
领克03,23043
领克05,1665
领克05 EM-P,245
领克06,24764
领克06 EM-P,919
领克09,2196
领克09 EM-P,3076
领界,812
领睿,9785
领裕,2654
风光330,1322
风光500,2502
风光580,3241
风光MINIEV,1810
风光S560,2289
风光ix5,70
风行S50 EV,1345
风行T5,2429
风行T5 EVO,3299
风行游艇,2015
飞凡F7,3550
飞凡R7,1350
飞度,27180
飞行家,2042
马自达3 昂克赛拉,10437
马自达CX-30,1867
马自达CX-5,4517
马自达CX-50行也,503
驱逐舰05,28725
骏行,5850
骐达TIIDA,4990
高合HiPhi X,366
高合HiPhi Z,1410
高尔夫,21337
魔方,2215
